SpecialAttributeID,AttributeLevel,FeatureExtractionProbability,WhetherTheInfluenceLevelLimit,SimpleDescription,ShortKnifeType07,LongKnifeType08,DaggerTypes09,SwordType10,BowType11,CrossbowType12,ArrowTypes13,VectorType14,LongRodType15,TheWandType16,ScepterType17,LongGeType18,SpearType19,SocialType20,HatchetType21,ShortGeType22,ShortStickType23,ShortHammerType24,HelmetType25,ArmorType26,ShieldType27,BootsType28,NecklaceType29,RingType30,WristType31,BeltType32,AttributeID,IfPer,ModifiedValue1MIN,ModifiedValue1MAX,ModifiedValue2MIN,ModifiedValue2MAX,ModifiedValue3MIN,ModifiedValue3MAX,ModifiedValue4MIN,ModifiedValue4MAX,ModifiedValue5MIN,ModifiedValue5MAX,ModifiedValue6MIN,ModifiedValue6MAX,ModifiedValue7MIN,ModifiedValue7MAX,ModifiedValue8MIN,ModifiedValue8MAX,ModifiedValue9MIN,ModifiedValue9MAX,PriceCorrectionRate,SubAttribute1,SubAttribute2,SubAttribute3,SubAttribute4,SubAttribute5,GemType0,TypeOfWood1,OreTypes2,AnimalBoneType3,SkinType4,AnimalTendonType5,MitreTypes33,RobeType34,WhetherTheGoldProperty
Thr_250,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,25,50,51,75,76,100,101,125,126,150,151,175,176,200,201,225,226,250,15,,,,,,,,,,,,,,
Thr_200,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,20,40,41,60,61,80,81,100,101,120,121,140,141,160,161,180,181,200,15,,,,,,,,,,,,,,
Thr_150,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,15,30,31,45,46,60,61,75,76,90,91,105,106,120,121,135,136,150,10,,,,,,,,,,,,,,
Uhr%_100,4,10,,增加闪避率%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thr%_100,,,,,,,,,,,,,
Uhr%_80,4,10,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Thr%_80,,,,,,,,,,,,,
Uhr%_40,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thr%_40,,,,,,,,,,,1,1,
Uhr%_20,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thr%_20,,,,,,,,,,1,,,
Thr%_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,50,60,61,65,66,70,71,75,76,80,81,85,86,90,91,95,96,100,30,,,,,,,,,,,,,,
Thr%_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,15,20,21,24,25,28,29,32,33,36,37,40,41,43,44,47,48,50,20,,,,,,,,,,,,,,
Thr%_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,10,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,20,,,,,,,,,,,,,,
Thr%_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,10,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基本攻击特性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uap_150,1,150,,增加攻击力,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin_150,Tapmax_150,,,,,,,,,,,,
Uap_120,1,150,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin_120,Tapmax_120,,,,,,,,,,,,
Uap_100,1,150,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin_100,Tapmax_100,,,,,,,,,,,,
Uap_80,1,150,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin_80,Tapmax_80,,,,,,,,,,,,
Uap_70,1,150,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin_70,Tapmax_70,,,,,,,,,,,,
Uap_60,1,150,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin_60,Tapmax_60,,,,,,,,,,,,
Uap_50,1,150,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin_50,Tapmax_50,,,,,,,,,,,,
Uap_40,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin_40,Tapmax_40,,,,,,1,,,,,,
Uap_30,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin_30,Tapmax_30,,,,,,,,,,,,
Uap_20,1,50,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Tapmin_20,Tapmax_20,,,,,,,,,,,,
Tapmin_150,,,1,min,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,6,10,11,18,19,26,27,34,35,42,43,50,51,58,59,67,68,75,20,,,,,,,,,,,,,,
Tapmin_120,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,4,7,8,15,16,21,22,28,29,34,35,41,42,47,48,54,55,60,20,,,,,,,,,,,,,,
Tapmin_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,3,6,7,12,13,17,18,23,24,28,29,34,35,39,40,45,46,50,20,,,,,,,,,,,,,,
Tapmin_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,3,5,6,10,11,14,15,18,19,22,23,27,28,31,32,36,37,40,20,,,,,,,,,,,,,,
Tapmin_70,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,2,3,4,6,7,10,11,13,14,16,17,20,21,23,24,27,28,35,20,,,,,,,,,,,,,,
Tapmin_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,2,3,4,6,7,10,11,13,14,16,17,20,21,23,24,27,28,30,20,,,,,,,,,,,,,,
Tapmin_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,2,3,4,6,7,9,10,11,12,14,15,16,17,19,20,22,23,25,20,,,,,,,,,,,,,,
Tapmin_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20,20,,,,,,,,,,,,,,
Tapmin_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,1,2,2,3,5,5,6,7,8,8,9,10,11,11,12,13,14,15,20,,,,,,,,,,,,,,
Tapmin_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,15,,,,,,,,,,,,,,
Tapmax_150,,,1,max,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,11,20,21,36,37,52,53,69,70,85,86,101,102,117,118,133,134,150,20,,,,,,,,,,,,,,
Tapmax_120,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,8,16,17,29,30,42,43,55,56,68,69,81,82,94,95,107,108,120,20,,,,,,,,,,,,,,
Tapmax_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,7,12,13,23,24,34,35,45,46,56,57,67,68,78,79,89,90,100,20,,,,,,,,,,,,,,
Tapmax_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,6,10,11,18,19,26,27,35,36,44,45,53,54,62,63,71,72,80,20,,,,,,,,,,,,,,
Tapmax_70,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,5,9,10,16,17,23,24,31,32,39,40,46,47,54,55,62,63,70,20,,,,,,,,,,,,,,
Tapmax_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,4,8,9,15,16,21,22,28,29,34,35,41,42,47,48,54,55,60,20,,,,,,,,,,,,,,
Tapmax_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,3,6,7,12,13,17,18,23,24,28,29,34,35,39,40,45,46,50,20,,,,,,,,,,,,,,
Tapmax_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,3,4,5,8,9,13,14,17,18,22,23,26,27,31,32,35,36,40,20,,,,,,,,,,,,,,
Tapmax_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,2,3,4,6,7,10,11,13,14,16,17,20,21,23,24,26,27,30,20,,,,,,,,,,,,,,
Tapmax_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,15,,,,,,,,,,,,,,
Uap%_100,1,40,,增加攻击力%,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin%_100,Tapmax%_100,,,,,,,,,,,,
Uap%_80,1,40,,,1,1,1,1,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin%_80,Tapmax%_80,,,,,,,,,,,,
Uap%_50,1,40,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin%_50,Tapmax%_50,,,,,,,,,,,,
Uap%_40,1,40,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin%_40,Tapmax%_40,,,,,,,,,,,,
Uap%_30,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin%_30,Tapmax%_30,,,,,,,,,,,,
Uap%_20,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin%_20,Tapmax%_20,,,,,,,,,,,,
Uap%_15,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin%_15,Tapmax%_15,,,,,,,,,,,,
Uap%_10,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapmin%_10,Tapmax%_10,,,,,,,,,,,,
Tapmin%_100,,,1,min,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,11,15,16,20,21,30,31,40,41,50,51,60,61,70,71,80,81,90,30,,,,,,,,,,,,,,
Tapmin%_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,9,12,13,16,17,24,25,32,33,40,41,48,49,56,57,64,65,72,30,,,,,,,,,,,,,,
Tapmin%_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,5,7,8,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,30,,,,,,,,,,,,,,
Tapmin%_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,5,6,7,8,9,12,13,16,17,20,21,24,25,28,29,32,33,36,30,,,,,,,,,,,,,,
Tapmin%_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,4,5,5,6,7,9,10,12,13,15,16,18,19,21,22,24,25,27,30,,,,,,,,,,,,,,
Tapmin%_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,30,,,,,,,,,,,,,,
Tapmin%_15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,5,5,6,6,7,7,8,8,9,9,10,10,11,11,13,13,15,15,20,,,,,,,,,,,,,,
Tapmin%_10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,20,,,,,,,,,,,,,,
Tapmax%_100,,,1,max,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,16,20,21,30,31,40,41,50,51,60,61,70,71,80,81,90,91,100,30,,,,,,,,,,,,,,
Tapmax%_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,13,16,17,24,25,32,33,40,41,48,49,56,57,64,65,72,73,80,30,,,,,,,,,,,,,,
Tapmax%_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,8,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,30,,,,,,,,,,,,,,
Tapmax%_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,7,8,9,12,13,16,17,20,21,24,25,28,29,32,33,36,37,40,30,,,,,,,,,,,,,,
Tapmax%_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,5,6,7,9,10,12,13,15,16,18,19,21,22,24,25,27,28,30,30,,,,,,,,,,,,,,
Tapmax%_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,30,,,,,,,,,,,,,,
Tapmax%_15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,5,5,6,6,7,7,8,8,9,9,10,10,11,11,13,13,15,15,20,,,,,,,,,,,,,,
Tapmax%_10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,20,,,,,,,,,,,,,,
Umap1_150,1,50,,增加金系攻击,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap1min_150,Tmap1max_150,,,,,,,,,,,,
Umap1_120,1,50,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap1min_120,Tmap1max_120,,,,,,,,,,,,
Umap1_100,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap1min_100,Tmap1max_100,,,,,,,,,,,,
Umap1_80,1,50,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap1min_80,Tmap1max_80,,,,,,,,,,,,
Umap1_60,1,50,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap1min_60,Tmap1max_60,,,,,,,,,,,,
Umap1_60a,1,100,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap1min_60,Tmap1max_60,,,,,,,,,,,,
Umap1_50,1,50,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap1min_50,Tmap1max_50,,,,,,,,,,,,
Umap1_50a,1,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap1min_50,Tmap1max_50,,,,,,,,,,,,
Umap1_40,1,50,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap1min_40,Tmap1max_40,,,,,,,,,,,1,
Umap1_30,1,20,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Tmap1min_30,Tmap1max_30,,,,,,,,,,,,
Umap1_20,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap1min_20,Tmap1max_20,,,,,1,,,,,,,
Tmap1min_150,,,1,min,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,6,10,11,18,19,26,27,34,35,42,43,50,51,58,59,67,68,75,20,,,,,,,,,,,,,,
Tmap1min_120,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,4,7,8,15,16,21,22,28,29,34,35,41,42,47,48,54,55,60,20,,,,,,,,,,,,,,
Tmap1min_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,3,6,7,12,13,17,18,23,24,28,29,34,35,39,40,45,46,50,20,,,,,,,,,,,,,,
Tmap1min_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,3,5,6,10,11,14,15,18,19,22,23,27,28,31,32,36,37,40,20,,,,,,,,,,,,,,
Tmap1min_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,2,4,5,7,8,10,11,13,14,16,17,19,20,23,24,27,28,30,20,,,,,,,,,,,,,,
Tmap1min_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,2,3,4,6,7,9,10,11,12,14,15,16,17,19,20,22,23,25,20,,,,,,,,,,,,,,
Tmap1min_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20,20,,,,,,,,,,,,,,
Tmap1min_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,1,2,3,4,5,6,6,7,8,9,9,10,11,12,12,13,14,15,20,,,,,,,,,,,,,,
Tmap1min_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,1,1,2,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,20,,,,,,,,,,,,,,
Tmap1max_150,,,1,max,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,11,20,21,36,37,52,53,69,70,85,86,101,102,117,118,133,134,150,20,,,,,,,,,,,,,,
Tmap1max_120,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,8,16,17,29,30,42,43,55,56,68,69,81,82,94,95,107,108,120,20,,,,,,,,,,,,,,
Tmap1max_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,7,12,13,23,24,34,35,45,46,56,57,67,68,78,79,89,90,100,20,,,,,,,,,,,,,,
Tmap1max_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,6,10,11,18,19,26,27,35,36,44,45,53,54,62,63,71,72,80,20,,,,,,,,,,,,,,
Tmap1max_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,4,8,9,15,16,21,22,28,29,34,35,41,42,47,48,54,55,60,20,,,,,,,,,,,,,,
Tmap1max_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,4,6,7,12,13,17,18,23,24,28,29,34,35,39,40,45,46,50,20,,,,,,,,,,,,,,
Tmap1max_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,3,4,5,8,9,13,14,17,18,22,23,26,27,31,32,35,36,40,20,,,,,,,,,,,,,,
Tmap1max_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,3,4,5,7,8,10,11,13,14,16,17,19,20,23,24,27,28,30,20,,,,,,,,,,,,,,
Tmap1max_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,20,,,,,,,,,,,,,,
Umap2_150,1,50,,增加木系攻击,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap2min_150,Tmap2max_150,,,,,,,,,,,,
Umap2_120,1,50,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap2min_120,Tmap2max_120,,,,,,,,,,,,
Umap2_100,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap2min_100,Tmap2max_100,,,,,,,,,,,,
Umap2_80,1,50,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap2min_80,Tmap2max_80,,,,,,,,,,,,
Umap2_60,1,50,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap2min_60,Tmap2max_60,,,,,,,,,,,,
Umap2_60a,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap2min_60,Tmap2max_60,,,,,,,,,,,,
Umap2_50,1,50,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap2min_50,Tmap2max_50,,,,,,,,,,,,
Umap2_50a,1,70,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap2min_50,Tmap2max_50,,,,,,,,,,,,
Umap2_40,1,50,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap2min_40,Tmap2max_40,,,,,,,,,,,1,
Umap2_30,1,20,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Tmap2min_30,Tmap2max_30,,,,,,,,,,,,
Umap2_20,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap2min_20,Tmap2max_20,,,,,1,,,,,,,
Tmap2min_150,,,1,min,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,6,10,11,18,19,26,27,34,35,42,43,50,51,58,59,67,68,75,20,,,,,,,,,,,,,,
Tmap2min_120,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,4,7,8,15,16,21,22,28,29,34,35,41,42,47,48,54,55,60,20,,,,,,,,,,,,,,
Tmap2min_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,3,6,7,12,13,17,18,23,24,28,29,34,35,39,40,45,46,50,20,,,,,,,,,,,,,,
Tmap2min_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,3,5,6,10,11,14,15,18,19,22,23,27,28,31,32,36,37,40,20,,,,,,,,,,,,,,
Tmap2min_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,2,4,5,7,8,10,11,13,14,16,17,19,20,23,24,27,28,30,20,,,,,,,,,,,,,,
Tmap2min_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,2,3,4,6,7,9,10,11,12,14,15,16,17,19,20,22,23,25,20,,,,,,,,,,,,,,
Tmap2min_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20,20,,,,,,,,,,,,,,
Tmap2min_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,2,3,4,5,6,6,7,8,9,9,10,11,12,12,13,14,15,20,,,,,,,,,,,,,,
Tmap2min_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,1,2,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,20,,,,,,,,,,,,,,
Tmap2max_150,,,1,max,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,11,20,21,36,37,52,53,69,70,85,86,101,102,117,118,133,134,150,20,,,,,,,,,,,,,,
Tmap2max_120,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,8,16,17,29,30,42,43,55,56,68,69,81,82,94,95,107,108,120,20,,,,,,,,,,,,,,
Tmap2max_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,7,12,13,23,24,34,35,45,46,56,57,67,68,78,79,89,90,100,20,,,,,,,,,,,,,,
Tmap2max_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,6,10,11,18,19,26,27,35,36,44,45,53,54,62,63,71,72,80,20,,,,,,,,,,,,,,
Tmap2max_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,4,8,9,15,16,21,22,28,29,34,35,41,42,47,48,54,55,60,20,,,,,,,,,,,,,,
Tmap2max_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,4,6,7,12,13,17,18,23,24,28,29,34,35,39,40,45,46,50,20,,,,,,,,,,,,,,
Tmap2max_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,3,4,5,8,9,13,14,17,18,22,23,26,27,31,32,35,36,40,20,,,,,,,,,,,,,,
Tmap2max_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,3,4,5,7,8,10,11,13,14,16,17,19,20,23,24,27,28,30,20,,,,,,,,,,,,,,
Tmap2max_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,20,,,,,,,,,,,,,,
Umap3_150,1,50,,增加水系攻击,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap3min_150,Tmap3max_150,,,,,,,,,,,,
Umap3_120,1,50,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap3min_120,Tmap3max_120,,,,,,,,,,,,
Umap3_100,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap3min_100,Tmap3max_100,,,,,,,,,,,,
Umap3_80,1,50,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap3min_80,Tmap3max_80,,,,,,,,,,,,
Umap3_60,1,50,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap3min_60,Tmap3max_60,,,,,,,,,,,,
Umap3_60a,1,100,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap3min_60,Tmap3max_60,,,,,,,,,,,,
Umap3_50,1,50,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap3min_50,Tmap3max_50,,,,,,,,,,,,
Umap3_50a,1,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap3min_50,Tmap3max_50,,,,,,,,,,,,
Umap3_40,1,50,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap3min_40,Tmap3max_40,,,,,,,,,,,1,
Umap3_30,1,20,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Tmap3min_30,Tmap3max_30,,,,,,,,,,,,
Umap3_20,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmap3min_20,Tmap3max_20,,,,,1,,,,,,,
Tmap3min_150,,,1,min,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,6,10,11,18,19,26,27,34,35,42,43,50,51,58,59,67,68,75,20,,,,,,,,,,,,,,
Tmap3min_120,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,4,7,8,15,16,21,22,28,29,34,35,41,42,47,48,54,55,60,20,,,,,,,,,,,,,,
Tmap3min_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,3,6,7,12,13,17,18,23,24,28,29,34,35,39,40,45,46,50,20,,,,,,,,,,,,,,
Tmap3min_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,3,5,6,10,11,14,15,18,19,22,23,27,28,31,32,36,37,40,20,,,,,,,,,,,,,,
Tmap3min_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,2,4,5,7,8,10,11,13,14,16,17,19,20,23,24,27,28,30,20,,,,,,,,,,,,,,
Tmap3min_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,2,3,4,6,7,9,10,11,12,14,15,16,17,19,20,22,23,25,20,,,,,,,,,,,,,,
Tmap3min_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20,20,,,,,,,,,,,,,,
