级别,名称,别名,道具类型,文字介绍ID,基准价格,重量,速度(1-5),唯一,等级限制,力量限制,敏捷限制,体质限制,攻击力小,攻击力大,防御力小,防御力大,耐久度小,耐久度大,最小特性数,最大特性数,抽取特性类型1,类型1概率,抽取特性类型2,类型2概率,抽取特性类型3,类型3概率,抽取特性类型4,类型4概率,抽取特性类型5,类型5概率,道具栏图片ID,地面图片ID,游侠,力士,刺客,术士,巫师,名称ID,五行属性,五行攻击,五行攻击MAX,五行防御,五行防御MAX,相生特性,镶嵌宝石数量,相生属性出现几率,五行属性出现几率
9,流星弩,liuxingnu,12,1141,410,10,60,Y,20,80,100,,30,50,,,60,60,0,0,Unique12_liuxing,100,,,,,,,,,3730,weapon_sword_ancient_angel_new,,,RH_010_003,,,190,2,5,10,,,Uap%_30u,1,100,0
1,弩,12_1,12,2075,10,5,0,Y,1,40,30,,15,28,,,60,90,0,2,,,,,,,,,,,3721,weapon_sword_ancient_angel_new,,,RH_008_003,,,180,1,5,10,,,,1,0,100
2,弩,12_2,12,2075,20,6,0,Y,3,60,45,,16,31,,,60,90,0,2,,,,,,,,,,,3722,weapon_sword_ancient_angel_new,,,RH_009_003,,,180,1,5,10,,,,1,0,100
3,弩,12_3,12,2075,30,7,0,Y,5,80,60,,17,34,,,60,90,0,2,,,,,,,,,,,3723,weapon_sword_ancient_angel_new,,,RH_010_003,,,180,1,5,10,,,,1,0,100
4,弩,12_4,12,2075,40,8,0,Y,7,100,75,,18,37,,,60,90,0,2,,,,,,,,,,,3724,weapon_sword_ancient_angel_new,,,RH_008_003,,,180,1,5,10,,,,1,0,100
5,弩,12_5,12,2075,50,9,0,Y,9,120,90,,19,40,,,60,90,0,2,,,,,,,,,,,3725,weapon_sword_ancient_angel_new,,,RH_009_003,,,180,1,5,10,,,,1,0,100
6,弩,12_6,12,2075,60,10,0,Y,11,140,105,,20,43,,,60,90,0,2,,,,,,,,,,,3726,weapon_sword_ancient_angel_new,,,RH_010_003,,,180,1,5,10,,,,1,0,100
7,弩,12_7,12,2075,70,11,0,Y,13,160,120,,21,46,,,60,90,0,2,,,,,,,,,,,3727,weapon_sword_ancient_angel_new,,,RH_008_003,,,180,1,5,10,,,,1,0,100
8,弩,12_8,12,2075,80,12,0,Y,15,180,135,,22,49,,,60,90,0,2,,,,,,,,,,,3728,weapon_sword_ancient_angel_new,,,RH_009_003,,,180,1,5,10,,,,1,0,100
9,弩,12_9,12,2075,90,13,0,Y,17,200,150,,23,52,,,60,90,0,2,,,,,,,,,,,3729,weapon_sword_ancient_angel_new,,,RH_010_003,,,180,1,5,10,,,,1,0,100
1,普通雕翎箭,putongdiaolingjian,13,1119,20,4,,N,1,,,,1,1,,,,,0,2,Unique13_1a,0,Tarrowquantity,95,Ux13_1,5,,,,,3736,weapon_sword_ancient_angel_new,,,,,,192,2,4,6,,,,,0,50
2,三棱箭,sanlengjian,13,1120,36,5,,N,5,,,,1,3,,,,,0,2,Unique13_2a,0,Tarrowquantity,85,Ux13_2,15,,,,,3737,weapon_sword_ancient_angel_new,,,,,,193,3,6,11,,,,,0,25
3,双翼箭,shuangyijian,13,1121,55,5,,N,10,,,,2,4,,,,,0,2,Unique13_3a,0,Tarrowquantity,95,Ux13_3,5,,,,,3738,weapon_sword_ancient_angel_new,,,,,,194,5,4,15,,,,,0,70
4,纵火箭,zonghuojian,13,1122,84,6,,N,15,,,,3,5,,,,,0,2,Unique13_4a,0,Tarrowquantity,92,Ux13_4,8,,,,,3739,weapon_sword_ancient_angel_new,,,,,,195,4,10,16,,,,,0,80
5,筒子箭,tongzijian,13,1123,104,6,,N,20,,,,4,6,,,,,0,2,Unique13_5a,0,Tarrowquantity,92,Ux13_5,8,,,,,3740,weapon_sword_ancient_angel_new,,,,,,196,2,8,24,,,,,0,100
6,方锥箭,fangzhuijian,13,1124,112,7,,N,25,,,,2,10,,,,,0,2,Unique13_6a,0,Tarrowquantity,85,Ux13_6,15,,,,,3741,weapon_sword_ancient_angel_new,,,,,,197,1,12,27,,,,,0,25
7,乌龙铁脊箭,wulongtiejijian,13,1125,163,10,,N,30,,,,8,20,,,,,0,2,Unique13_7a,0,Tarrowquantity,90,Ux13_7,10,,,,,3742,weapon_sword_ancient_angel_new,,,,,,198,5,2,4,,,,,0,25
8,金心箭,jinxinjian,13,1126,243,8,,N,35,,,,5,11,,,,,0,2,Unique13_8a,0,Tarrowquantity,90,Ux13_8,10,,,,,3743,weapon_sword_ancient_angel_new,,,,,,199,1,14,35,,,,,0,100
9,寒冰箭,hanbingjian,13,1128,225,6,,N,40,,,,7,11,,,,,0,2,Unique13_9a,0,Tarrowquantity,90,Ux13_9,10,,,,,3744,weapon_sword_ancient_angel_new,,,,,,200,3,16,40,,,,,0,100
1,普通雕翎箭,putongdiaolingjian1,13,1119,20,4,,Y,1,,,,1,1,,,,,0,0,Unique13_1a,0,Tarrowquantity,100,,,,,,,3736,weapon_sword_ancient_angel_new,,,,,,192,,,,,,,,0,0
2,三棱箭,sanlengjian1,13,1120,36,5,,Y,1,,,,1,3,,,,,0,0,Unique13_2a,0,Tarrowquantity,100,,,,,,,3737,weapon_sword_ancient_angel_new,,,,,,193,,,,,,,,0,0
9,射日箭,sherijian,13,1127,250,9,,Y,25,,,,2,4,,,,,0,0,Unique13_sheri,100,,,,,,,,,3744,weapon_sword_ancient_angel_new,,,,,,201,4,15,25,,,,,100,0
1,箭,13_1,13,2075,10,4,0,Y,99,,,,2,4,,,,,0,2,,,Tarrowquantity,100,,,,,,,3736,weapon_sword_ancient_angel_new,,,,,,191,1,2,4,,,,,,
2,箭,13_2,13,2075,20,4,0,Y,99,,,,4,8,,,,,0,2,,,Tarrowquantity,100,,,,,,,3736,weapon_sword_ancient_angel_new,,,,,,191,1,4,8,,,,,,
3,箭,13_3,13,2075,30,4,0,Y,99,,,,6,12,,,,,0,2,,,Tarrowquantity,100,,,,,,,3736,weapon_sword_ancient_angel_new,,,,,,191,1,6,12,,,,,,
4,箭,13_4,13,2075,40,4,0,Y,99,,,,8,16,,,,,0,2,,,Tarrowquantity,100,,,,,,,3736,weapon_sword_ancient_angel_new,,,,,,191,1,8,16,,,,,,
5,箭,13_5,13,2075,50,4,0,Y,99,,,,10,20,,,,,0,2,,,Tarrowquantity,100,,,,,,,3736,weapon_sword_ancient_angel_new,,,,,,191,1,10,20,,,,,,
6,箭,13_6,13,2075,60,4,0,Y,99,,,,12,24,,,,,0,2,,,Tarrowquantity,100,,,,,,,3736,weapon_sword_ancient_angel_new,,,,,,191,1,12,24,,,,,,
7,箭,13_7,13,2075,70,4,0,Y,99,,,,14,28,,,,,0,2,,,Tarrowquantity,100,,,,,,,3736,weapon_sword_ancient_angel_new,,,,,,191,1,14,28,,,,,,
8,箭,13_8,13,2075,80,4,0,Y,99,,,,16,32,,,,,0,2,,,Tarrowquantity,100,,,,,,,3736,weapon_sword_ancient_angel_new,,,,,,191,1,16,32,,,,,,
9,箭,13_9,13,2075,90,4,0,Y,99,,,,18,36,,,,,0,2,,,Tarrowquantity,100,,,,,,,3736,weapon_sword_ancient_angel_new,,,,,,191,1,18,36,,,,,,
1,普通短矢,putongduanshi,14,1129,25,3,,N,1,,,,1,2,,,,,0,2,Unique14_1a,0,Tarrowquantity,90,Ux14_1,10,,,,,3748,weapon_sword_ancient_angel_new,,,,,,203,3,3,5,,,,,0,25
2,骨镞矢,gucushi,14,1130,36,5,,N,5,,,,2,4,,,,,0,2,Unique14_2a,0,Tarrowquantity,90,Ux14_2,10,,,,,3749,weapon_sword_ancient_angel_new,,,,,,204,4,5,8,,,,,0,50
3,铜矢,tongshi,14,1131,78,7,,N,11,,,,2,3,,,,,0,2,Unique14_3a,0,Tarrowquantity,90,Ux14_3,10,,,,,3750,weapon_sword_ancient_angel_new,,,,,,205,1,7,20,,,,,0,100
4,铁竹飞矢,tiezhufeishi,14,1132,88,5,,N,16,,,,4,8,,,,,0,2,Unique14_4a,0,Tarrowquantity,85,Ux14_4,15,,,,,3751,weapon_sword_ancient_angel_new,,,,,,206,5,8,15,,,,,0,25
5,铁镞矢,tiecushi,14,1133,124,7,,N,20,,,,7,8,,,,,0,2,Unique14_5a,0,Tarrowquantity,85,Ux14_5,15,,,,,3752,weapon_sword_ancient_angel_new,,,,,,207,1,10,18,,,,,0,40
6,雀胆毒矢,quedandushi,14,1134,175,6,,N,24,,,,3,6,,,,,0,2,Unique14_6a,0,Tarrowquantity,0,Ux14_6,100,,,,,3753,weapon_sword_ancient_angel_new,,,,,,208,2,15,35,,,,,0,100
7,反齿矢,fanchishi,14,1135,170,6,,N,30,,,,8,13,,,,,0,2,Unique14_7a,0,Tarrowquantity,80,Ux14_7,20,,,,,3754,weapon_sword_ancient_angel_new,,,,,,209,3,8,30,,,,,0,50
8,碎骨矢,suigushi,14,1136,243,8,,N,36,,,,9,15,,,,,0,2,Unique14_8a,0,Tarrowquantity,90,Ux14_8,10,,,,,3755,weapon_sword_ancient_angel_new,,,,,,210,4,15,28,,,,,0,25
9,鬼影,guiying,14,1142,412,8,,N,42,,,,6,21,,,,,0,2,Unique14_8a,0,Tarrowquantity,80,Ux14_9,20,,,,,3756,weapon_sword_ancient_angel_new,,,,,,211,5,16,32,,,,,0,30
2,骨镞矢,gucushi1,14,1130,36,5,,Y,1,,,,2,4,,,,,0,0,Unique14_2a,0,Tarrowquantity,100,,,,,,,3749,weapon_sword_ancient_angel_new,,,,,,204,,,,,,,,0,0
9,冬月矢,dongyueshi,14,1137,320,10,,Y,37,,,,3,6,,,,,0,0,Unique14_dongyue,100,,,,,,,,,3756,weapon_sword_ancient_angel_new,,,,,,212,3,36,50,,,,,100,0
1,矢,14_1,14,2075,10,4,0,Y,99,,,,2,4,,,,,0,2,,,Tarrowquantity,100,,,,,,,3748,weapon_sword_ancient_angel_new,,,,,,202,1,2,4,,,,,,
2,矢,14_2,14,2075,20,4,0,Y,99,,,,4,8,,,,,0,2,,,Tarrowquantity,100,,,,,,,3748,weapon_sword_ancient_angel_new,,,,,,202,1,4,8,,,,,,
3,矢,14_3,14,2075,30,4,0,Y,99,,,,6,12,,,,,0,2,,,Tarrowquantity,100,,,,,,,3748,weapon_sword_ancient_angel_new,,,,,,202,1,6,12,,,,,,
4,矢,14_4,14,2075,40,4,0,Y,99,,,,8,16,,,,,0,2,,,Tarrowquantity,100,,,,,,,3748,weapon_sword_ancient_angel_new,,,,,,202,1,8,16,,,,,,
5,矢,14_5,14,2075,50,4,0,Y,99,,,,10,20,,,,,0,2,,,Tarrowquantity,100,,,,,,,3748,weapon_sword_ancient_angel_new,,,,,,202,1,10,20,,,,,,
6,矢,14_6,14,2075,60,4,0,Y,99,,,,12,24,,,,,0,2,,,Tarrowquantity,100,,,,,,,3748,weapon_sword_ancient_angel_new,,,,,,202,1,12,24,,,,,,
7,矢,14_7,14,2075,70,4,0,Y,99,,,,14,28,,,,,0,2,,,Tarrowquantity,100,,,,,,,3748,weapon_sword_ancient_angel_new,,,,,,202,1,14,28,,,,,,
8,矢,14_8,14,2075,80,4,0,Y,99,,,,16,32,,,,,0,2,,,Tarrowquantity,100,,,,,,,3748,weapon_sword_ancient_angel_new,,,,,,202,1,16,32,,,,,,
9,矢,14_9,14,2075,90,4,0,Y,99,,,,18,36,,,,,0,2,,,Tarrowquantity,100,,,,,,,3748,weapon_sword_ancient_angel_new,,,,,,202,1,18,36,,,,,,
1,普通木棍,putongmugun,15,1200,55,5,30,N,1,,,,12,20,,,64,80,0,5,Unique15_1a,0,,,,,,,,,3760,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,214,2,4,9,,,Tdp%_100,1,20,25
2,粗制手杖,cuzhishouzhang,15,1201,108,5,10,N,5,30,,,14,30,,,60,100,0,6,Unique15_2a,0,,,,,,,,,3761,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,215,5,8,15,,,Tdex_80,2,25,40
3,钉棍,dinggun,15,1204,208,6,25,N,9,42,,,18,36,,,60,80,0,5,Unique15_3a,0,,,,,,,,,3762,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,216,4,5,12,,,Tcritical_50,1,20,0
4,齐眉棍,qimeigun,15,1202,333,7,0,N,14,70,,,25,40,,,56,100,0,5,Unique15_4a,0,,,,,,,,,3763,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,217,2,8,20,,,Uap_120,1,20,0
5,打狗棍,dagougun,15,1203,385,6,40,N,19,60,60,,21,54,,,80,100,1,5,Unique15_5a,0,,,,,,,,,3764,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,218,3,10,15,,,Tknockout_80,2,20,0
6,铁胆棍,tiedangun,15,1205,450,9,-10,N,22,91,,,32,56,,,80,100,0,5,Unique15_6a,0,,,,,,,,,3765,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,219,1,16,24,,,Tdeadly_50,2,30,0
7,盘龙棍,panlonggun,15,1206,700,8,30,N,27,80,80,,35,65,,,80,100,0,6,Unique15_7a,0,,,,,,,,,3766,weapon_sword_ancient_angel_new,,,,RH_002_001,LH_006_001,220,5,10,30,,,Tattackspeed_50,1,25,50
8,风雷棍,fengleigun,15,1207,748,10,20,N,34,120,,,45,70,,,80,100,1,5,Unique15_8a,0,,,,,,,,,3767,weapon_sword_ancient_angel_new,,,,RH_002_001,LH_006_001,221,4,12,20,,,Uap%_50,1,30,0
9,鬼针,guizhen,15,1208,1053,8,15,N,41,100,100,,15,25,,,80,100,1,6,Unique15_9a,0,,,,,,,,,3768,weapon_sword_ancient_angel_new,,,,RH_003_001,LH_006_001,222,3,15,35,,,Thpmax%_40,3,25,50
1,普通木棍,putongmugun1,15,1200,55,5,30,Y,1,,,,12,20,,,64,80,0,0,Unique15_1a,0,,,,,,,,,3760,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,214,,,,,,,1,0,0
4,齐眉棍,qimeigun1,15,1202,333,7,0,Y,1,,,,25,40,,,56,104,0,0,Unique15_4a,0,,,,,,,,,3763,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,217,2,14,38,,,,1,0,0
9,奇碧,qibi,15,1209,1350,10,30,Y,20,75,75,,40,65,,,80,80,0,0,Unique15_qibi,100,,,,,,,,,3769,weapon_sword_ancient_angel_new,,,,RH_003_001,LH_005_001,223,2,6,10,,,Tdp%_50u,1,100,0
1,长棍,15_1,15,2075,10,3,10,Y,1,24,,,16,24,,,60,96,1,3,,,,,,,,,,,3760,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,213,1,8,12,,,,1,0,100
2,长棍,15_2,15,2075,20,3,10,Y,3,36,,,17,25,,,60,96,1,3,,,,,,,,,,,3761,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,213,1,8,12,,,,1,0,100
3,长棍,15_3,15,2075,30,4,10,Y,5,48,,,18,26,,,60,96,1,3,,,,,,,,,,,3762,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,213,1,8,12,,,,1,0,100
4,长棍,15_4,15,2075,40,4,10,Y,7,60,,,19,27,,,60,96,1,3,,,,,,,,,,,3763,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,213,1,8,12,,,,1,0,100
5,长棍,15_5,15,2075,50,5,10,Y,9,72,,,20,28,,,60,96,1,3,,,,,,,,,,,3764,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,213,1,8,12,,,,1,0,100
6,长棍,15_6,15,2075,60,5,10,Y,11,84,,,21,29,,,60,96,1,3,,,,,,,,,,,3765,weapon_sword_ancient_angel_new,,,,RH_001_001,LH_005_001,213,1,8,12,,,,1,0,100
7,长棍,15_7,15,2075,70,6,10,Y,13,96,,,22,30,,,60,96,1,3,,,,,,,,,,,3766,weapon_sword_ancient_angel_new,,,,RH_002_001,LH_006_001,213,1,8,12,,,,1,0,100
8,长棍,15_8,15,2075,80,6,10,Y,15,108,,,23,31,,,60,96,1,3,,,,,,,,,,,3767,weapon_sword_ancient_angel_new,,,,RH_002_001,LH_006_001,213,1,8,12,,,,1,0,100
9,长棍,15_9,15,2075,90,7,10,Y,17,120,,,24,32,,,60,96,1,3,,,,,,,,,,,3768,weapon_sword_ancient_angel_new,,,,RH_003_001,LH_006_001,213,1,8,12,,,,1,0,100
1,青木杖,qingmuzhang1,16,1210,139,4,0,N,1,,,,5,9,,,64,96,0,5,Unique16_1a,0,Umapx2_40,5,,,,,,,3775,weapon_sword_ancient_angel_new,,,,,LH_001_001,225,2,6,12,,,Tmpmax_300,1,20,100
1,青木杖,qingmuzhang2,16,1210,139,4,0,N,1,,,,5,9,,,64,96,0,5,Unique16_1a,0,Umapx4_40,5,,,,,,,3775,weapon_sword_ancient_angel_new,,,,,LH_001_001,225,4,6,12,,,Tmpmax_300,1,20,100
2,白骨杖,skeletonzhang1,16,1211,277,5,30,N,6,,,,4,10,,,80,100,1,5,Unique16_2a,0,Umapx2_40,5,,,,,,,3776,weapon_sword_ancient_angel_new,,,,,LH_003_001,226,2,6,15,,,Tattackspeed_30,2,20,100
2,白骨杖,skeletonzhang2,16,1211,277,5,30,N,6,,,,4,10,,,80,100,1,5,Unique16_2a,0,Umapx4_40,5,,,,,,,3776,weapon_sword_ancient_angel_new,,,,,LH_003_001,226,4,6,15,,,Tattackspeed_30,2,20,100
3,龙虎杖,longhuzhang,16,1213,364,5,0,N,11,,,,5,12,,,80,100,0,5,Unique16_4a,0,Umapx2_40,8,,,,,,,3778,weapon_sword_ancient_angel_new,,,,,LH_002_001,228,2,15,23,,,Umap2_50,1,20,100
4,赤焰杖,chiyanzhang,16,1214,441,8,-20,N,14,,,,7,24,,,80,100,0,5,Unique16_5a,0,Umapx4_40,8,,,,,,,3779,weapon_sword_ancient_angel_new,,,,,LH_001_001,229,4,25,36,,,Umap4_50,1,20,100
5,百蛊杖,baiguzhang,16,1212,706,6,-10,N,20,,,,16,22,,,80,100,1,5,Unique16_3a,0,Umapx2_40,5,,,,,,,3777,weapon_sword_ancient_angel_new,,,,,LH_002_001,227,2,22,45,,,Tpoison_60,2,30,100
6,狂雷杖,kuangleizhang,16,1215,725,7,10,N,24,,,,6,24,,,80,100,1,5,Unique16_6a,0,Umapx4_40,8,,,,,,,3780,weapon_sword_ancient_angel_new,,,,,LH_002_001,230,4,16,48,,,Tblind_60,2,25,100
7,修罗杖,xiuluozhang,16,1216,1047,6,0,N,30,,,,12,21,,,64,100,0,6,Unique16_7a,0,Umapx2_40,10,,,,,,,3781,weapon_sword_ancient_angel_new,,,,,LH_003_001,231,2,30,50,,,Umap2%_30,1,20,100
8,罗剎杖,luochazhang,16,1217,1361,9,-15,N,36,,,,13,33,,,80,96,0,6,Unique16_8a,0,Umapx4_40,10,,,,,,,3782,weapon_sword_ancient_angel_new,,,,,LH_001_001,232,4,36,64,,,Umap4%_30,1,20,100
9,阎煞杖,yanshazhang1,16,1218,1862,7,0,N,42,,,,9,20,,,60,100,1,4,Unique16_9a,0,Umapx2_40,10,,,,,,,3783,weapon_sword_ancient_angel_new,,,,,LH_003_001,233,2,15,25,,,Trange_2,3,25,100
9,阎煞杖,yanshazhang2,16,1218,1862,7,0,N,42,,,,9,20,,,80,100,1,4,Unique16_9a,0,Umapx4_40,10,,,,,,,3783,weapon_sword_ancient_angel_new,,,,,LH_003_001,233,4,15,25,,,Trange_2,3,25,100
1,青木杖,qingmuzhang3,16,1210,139,4,0,Y,1,,,,5,9,,,64,96,0,0,Unique16_1a,0,,,,,,,,,3775,weapon_sword_ancient_angel_new,,,,,LH_001_001,225,4,6,12,,,,1,0,100
1,青木杖,qingmuzhang4,16,1210,139,4,0,Y,1,,,,5,9,,,64,96,0,0,Unique16_1a,0,,,,,,,,,3775,weapon_sword_ancient_angel_new,,,,,LH_001_001,225,2,6,12,,,,1,0,100
2,白骨杖,skeletonzhang3,16,1211,277,5,30,Y,1,,,,4,10,,,80,112,0,0,Unique16_2a,0,,,,,,,,,3776,weapon_sword_ancient_angel_new,,,,,LH_003_001,226,4,6,15,,,,2,0,100
3,龙虎杖,longhuzhang2,16,1213,441,5,0,Y,1,,,,5,12,,,80,120,0,0,Unique16_4a,0,,,,,,,,,3778,weapon_sword_ancient_angel_new,,,,,LH_002_001,228,2,15,23,,,,1,0,100
1,法杖,16_1,16,2075,10,2,0,Y,1,,,,6,12,,,60,120,0,1,,,,,,,,,,,3775,weapon_sword_ancient_angel_new,,,,,LH_001_001,224,1,6,12,,,,1,0,100
2,法杖,16_2,16,2075,20,2,0,Y,3,,,,6,12,,,60,120,0,1,,,,,,,,,,,3776,weapon_sword_ancient_angel_new,,,,,LH_003_001,224,1,7,13.5,,,,1,0,100
3,法杖,16_3,16,2075,30,3,0,Y,5,,,,6,12,,,60,120,0,1,,,,,,,,,,,3777,weapon_sword_ancient_angel_new,,,,,LH_003_001,224,1,8,15,,,,1,0,100
4,法杖,16_4,16,2075,40,3,0,Y,7,,,,6,12,,,60,120,0,1,,,,,,,,,,,3778,weapon_sword_ancient_angel_new,,,,,LH_001_001,224,1,9,16.5,,,,1,0,100
5,法杖,16_5,16,2075,50,4,0,Y,9,,,,6,12,,,60,120,0,1,,,,,,,,,,,3779,weapon_sword_ancient_angel_new,,,,,LH_002_001,224,1,10,18,,,,1,0,100
6,法杖,16_6,16,2075,60,4,0,Y,11,,,,6,12,,,60,120,0,1,,,,,,,,,,,3780,weapon_sword_ancient_angel_new,,,,,LH_002_001,224,1,11,19.5,,,,1,0,100
7,法杖,16_7,16,2075,70,5,0,Y,13,,,,6,12,,,60,120,0,1,,,,,,,,,,,3781,weapon_sword_ancient_angel_new,,,,,LH_003_001,224,1,12,21,,,,1,0,100
8,法杖,16_8,16,2075,80,5,0,Y,15,,,,6,12,,,60,120,0,1,,,,,,,,,,,3782,weapon_sword_ancient_angel_new,,,,,LH_001_001,224,1,13,22.5,,,,1,0,100
9,法杖,16_9,16,2075,90,6,0,Y,17,,,,6,12,,,60,120,0,1,,,,,,,,,,,3783,weapon_sword_ancient_angel_new,,,,,LH_003_001,224,1,14,24,,,,1,0,100
1,定持,dingchi1,17,1219,149,4,0,N,1,,,,5,11,,,40,56,0,5,Unique17_1a,0,Umapx1_50,5,,,,,,,3788,weapon_sword_ancient_angel_new,,,,RH_001_001,,235,1,8,11,,,Tmpregen%_80,1,20,100
1,定持,dingchi2,17,1219,149,4,0,N,1,,,,5,11,,,40,56,0,5,Unique17_1a,0,Umapx3_50,5,,,,,,,3788,weapon_sword_ancient_angel_new,,,,RH_001_001,,235,3,8,11,,,Tmpregen%_80,1,20,100
1,定持,dingchi3,17,1219,149,4,0,N,1,,,,5,11,,,40,56,0,5,Unique17_1a,0,Umapx5_50,5,,,,,,,3788,weapon_sword_ancient_angel_new,,,,RH_001_001,,235,5,8,11,,,Tmpregen%_80,1,20,100
2,据守,jushou,17,1220,270,5,30,N,5,,,,6,9,,,52,72,0,5,Unique17_2a,0,Umapx3_50,5,,,,,,,3789,weapon_sword_ancient_angel_new,,,,RH_002_001,,236,3,6,15,,,Umap3_60,1,20,100
3,墨门苦行杖,momenkuxingzhang,17,1222,420,6,20,N,9,,,,8,14,,,50,66,0,5,Unique17_3a,0,Umapx1_50,5,,,,,,,3790,weapon_sword_ancient_angel_new,,,,RH_002_001,,237,1,10,20,,,Umap1_60,1,25,100
4,鬼雄杖,guixiongzhang,17,1223,675,7,10,N,16,,,,12,18,,,52,64,0,5,Unique17_4a,0,Umapx5_50,8,,,,,,,3791,weapon_sword_ancient_angel_new,,,,RH_001_001,,238,5,14,28,,,Umap5_60,1,20,100
5,吕尚黄杖,lushanghuangzhang1,17,1221,429,6,0,N,21,,,,8,24,,,40,64,1,6,Unique17_5a,0,Umapx1_50,8,,,,,,,3792,weapon_sword_ancient_angel_new,,,,RH_003_001,,239,1,21,36,,,Twis_80,2,25,100
5,吕尚黄杖,lushanghuangzhang2,17,1221,429,6,0,N,21,,,,8,24,,,40,64,1,6,Unique17_5a,0,Umapx3_50,8,,,,,,,3792,weapon_sword_ancient_angel_new,,,,RH_003_001,,239,3,21,36,,,Twis_80,2,25,100
5,吕尚黄杖,lushanghuangzhang3,17,1221,429,6,0,N,21,,,,8,24,,,40,64,1,6,Unique17_5a,0,Umapx5_50,8,,,,,,,3792,weapon_sword_ancient_angel_new,,,,RH_003_001,,239,5,21,36,,,Twis_80,2,25,100
6,夸父荆杖,kuafujingzhang1,17,1224,1008,9,-10,N,27,,,,16,27,,,36,60,0,6,Unique17_6a,0,Umapx1_50,8,,,,,,,3793,weapon_sword_ancient_angel_new,,,,RH_002_001,,240,1,24,54,,,Thpmax_300,2,30,100
6,夸父荆杖,kuafujingzhang2,17,1224,1008,9,-10,N,27,,,,16,27,,,36,60,0,6,Unique17_6a,0,Umapx3_50,8,,,,,,,3793,weapon_sword_ancient_angel_new,,,,RH_002_001,,240,3,24,54,,,Thpmax_300,2,30,100
6,夸父荆杖,kuafujingzhang3,17,1224,1008,9,-10,N,27,,,,16,27,,,36,60,0,6,Unique17_6a,0,Umapx5_50,8,,,,,,,3793,weapon_sword_ancient_angel_new,,,,RH_002_001,,240,5,24,54,,,Thpmax_300,2,30,100
7,伏羲杖,fuxizhang1,17,1225,1326,4,30,N,31,,,,8,20,,,40,56,0,6,Unique17_7a,0,Umapx1_50,10,,,,,,,3794,weapon_sword_ancient_angel_new,,,,RH_003_001,,241,1,18,48,,,Tattackspeed_30,1,20,100
7,伏羲杖,fuxizhang2,17,1225,1326,4,30,N,31,,,,8,20,,,40,56,0,6,Unique17_7a,0,Umapx3_50,10,,,,,,,3794,weapon_sword_ancient_angel_new,,,,RH_003_001,,241,3,18,48,,,Tattackspeed_30,1,20,100
7,伏羲杖,fuxizhang3,17,1225,1326,4,30,N,31,,,,8,20,,,40,56,0,6,Unique17_7a,0,Umapx5_50,10,,,,,,,3794,weapon_sword_ancient_angel_new,,,,RH_003_001,,241,5,18,48,,,Tattackspeed_30,1,20,100
8,神农杖,shennongzhang1,17,1226,1701,6,15,N,36,,,,15,30,,,42,64,0,5,Unique17_8a,0,Umapx1_50,10,,,,,,,3795,weapon_sword_ancient_angel_new,,,,RH_002_001,,242,1,32,56,,,Trange_2,2,25,100
8,神农杖,shennongzhang2,17,1226,1701,6,15,N,36,,,,15,30,,,42,64,0,5,Unique17_8a,0,Umapx3_50,10,,,,,,,3795,weapon_sword_ancient_angel_new,,,,RH_002_001,,242,3,32,56,,,Trange_2,2,25,100
8,神农杖,shennongzhang3,17,1226,1701,6,15,N,36,,,,15,30,,,42,64,0,5,Unique17_8a,0,Umapx5_50,10,,,,,,,3795,weapon_sword_ancient_angel_new,,,,RH_002_001,,242,5,32,56,,,Trange_2,2,25,100
9,轩辕杖,xuanyuanzhang1,17,1227,2138,10,-20,N,41,,,,18,42,,,50,70,0,5,Unique17_9a,0,Umapx1_50,10,,,,,,,3796,weapon_sword_ancient_angel_new,,,,RH_003_001,,243,1,15,30,,,Tknockout_80,3,25,100
9,轩辕杖,xuanyuanzhang2,17,1227,2138,10,-20,N,41,,,,18,42,,,50,70,0,5,Unique17_9a,0,Umapx3_50,10,,,,,,,3796,weapon_sword_ancient_angel_new,,,,RH_003_001,,243,3,15,30,,,Tknockout_80,3,25,100
9,轩辕杖,xuanyuanzhang3,17,1227,2138,10,-20,N,41,,,,18,42,,,50,70,0,5,Unique17_9a,0,Umapx5_50,10,,,,,,,3796,weapon_sword_ancient_angel_new,,,,RH_003_001,,243,5,15,30,,,Tknockout_80,3,25,100
1,定持,dingchi4,17,1219,149,4,0,Y,1,,,,5,11,,,40,56,0,0,Unique17_1a,0,,,,,,,,,3788,weapon_sword_ancient_angel_new,,,,RH_001_001,,235,3,8,11,,,,1,0,100
